"tag","t","perf","util","gpuC"
"A_idle","09:29:30","185","23","-1"
"A_idle","09:29:31","187","47","-1"
"A_idle","09:29:32","186","21","-1"
"A_idle","09:29:33","185","19","-1"
"A_idle","09:29:34","186","19","-1"
"A_idle","09:29:35","186","21","-1"
"A_idle","09:29:36","187","48","-1"
"A_idle","09:29:37","186","23","-1"
"A_idle","09:29:38","186","18","-1"
"A_idle","09:29:39","186","20","-1"
"A_idle","09:29:40","185","23","-1"
"A_idle","09:29:41","187","50","-1"
"A_idle","09:29:42","185","24","-1"
"A_idle","09:29:43","186","20","-1"
"A_idle","09:29:44","186","18","-1"
"A_idle","09:29:45","185","22","-1"
"A_idle","09:29:46","187","27","-1"
"A_idle","09:29:47","187","53","-1"
"A_idle","09:29:48","187","44","-1"
"A_idle","09:29:49","185","58","-1"
"A_idle","09:29:50","185","22","-1"
"A_idle","09:29:51","187","47","-1"
"A_idle","09:29:52","186","21","-1"
"A_idle","09:29:53","186","19","-1"
"A_idle","09:29:54","186","18","-1"
"A_idle","09:29:55","185","21","-1"
"A_idle","09:29:56","187","49","-1"
"A_idle","09:29:57","186","20","-1"
"A_idle","09:29:58","186","19","-1"
"A_idle","09:29:59","186","19","-1"
"A_b1","09:30:03","180","130","-1"
"A_b1","09:30:04","184","119","-1"
"A_b1","09:30:05","182","113","-1"
"A_b1","09:30:06","183","137","-1"
"A_b1","09:30:07","187","113","-1"
"A_b1","09:30:08","187","125","-1"
"A_b1","09:30:09","187","115","-1"
"A_b1","09:30:10","165","103","-1"
"A_b1","09:30:11","137","106","-1"
"A_b1","09:30:12","137","105","-1"
"A_b1","09:30:13","138","101","-1"
"A_b1","09:30:14","136","102","-1"
"A_bursttemp","09:30:16","-1","-1","57"
"A_b2","09:30:27","178","156","-1"
"A_b2","09:30:28","147","108","-1"
"A_b2","09:30:29","138","103","-1"
"A_b2","09:30:30","137","101","-1"
"A_b2","09:30:31","136","118","-1"
"A_b2","09:30:32","136","116","-1"
"A_b2","09:30:33","138","101","-1"
"A_b2","09:30:34","138","104","-1"
"A_b2","09:30:35","138","106","-1"
"A_b2","09:30:36","133","109","-1"
"A_b2","09:30:37","136","117","-1"
"A_b2","09:30:38","135","120","-1"
"A_bursttemp","09:30:40","-1","-1","56"
"A_b3","09:30:51","138","103","-1"
"A_b3","09:30:52","136","103","-1"
"A_b3","09:30:53","143","88","-1"
"A_b3","09:30:54","141","89","-1"
"A_b3","09:30:55","142","87","-1"
"A_b3","09:30:56","138","106","-1"
"A_b3","09:30:57","136","108","-1"
"A_b3","09:30:58","141","87","-1"
"A_b3","09:30:59","143","93","-1"
"A_b3","09:31:00","139","86","-1"
"A_b3","09:31:01","141","90","-1"
"A_b3","09:31:02","138","109","-1"
"A_bursttemp","09:31:03","-1","-1","56"
"A_b4","09:31:14","183","111","-1"
"A_b4","09:31:15","145","90","-1"
"A_b4","09:31:16","135","105","-1"
"A_b4","09:31:18","141","89","-1"
"A_b4","09:31:19","142","88","-1"
"A_b4","09:31:20","142","89","-1"
"A_b4","09:31:21","139","95","-1"
"A_b4","09:31:22","138","106","-1"
"A_b4","09:31:23","142","93","-1"
"A_b4","09:31:24","140","89","-1"
"A_b4","09:31:25","143","90","-1"
"A_b4","09:31:26","138","104","-1"
"A_bursttemp","09:31:27","-1","-1","56"
"A_b5","09:31:38","183","112","-1"
"A_b5","09:31:39","143","90","-1"
"A_b5","09:31:40","141","91","-1"
"A_b5","09:31:41","138","106","-1"
"A_b5","09:31:42","137","106","-1"
"A_b5","09:31:43","142","89","-1"
"A_b5","09:31:44","143","91","-1"
"A_b5","09:31:45","143","87","-1"
"A_b5","09:31:46","138","109","-1"
"A_b5","09:31:47","135","108","-1"
"A_b5","09:31:48","142","86","-1"
"A_b5","09:31:49","141","89","-1"
"A_bursttemp","09:31:51","-1","-1","56"
"A_b6","09:32:02","181","136","-1"
"A_b6","09:32:03","141","86","-1"
"A_b6","09:32:04","141","95","-1"
"A_b6","09:32:05","141","88","-1"
"A_b6","09:32:06","138","106","-1"
"A_b6","09:32:07","136","104","-1"
"A_b6","09:32:08","142","88","-1"
"A_b6","09:32:09","141","88","-1"
"A_b6","09:32:10","142","91","-1"
"A_b6","09:32:11","138","106","-1"
"A_b6","09:32:12","136","109","-1"
"A_b6","09:32:13","142","87","-1"
"A_bursttemp","09:32:15","-1","-1","56"
"A_b7","09:32:26","182","131","-1"
"A_b7","09:32:27","137","105","-1"
"A_b7","09:32:28","140","92","-1"
"A_b7","09:32:29","141","90","-1"
"A_b7","09:32:30","142","87","-1"
"A_b7","09:32:31","138","108","-1"
"A_b7","09:32:32","136","107","-1"
"A_b7","09:32:33","142","86","-1"
"A_b7","09:32:34","142","92","-1"
"A_b7","09:32:35","144","91","-1"
"A_b7","09:32:36","138","107","-1"
"A_b7","09:32:37","136","106","-1"
"A_bursttemp","09:32:39","-1","-1","56"
"A_b8","09:32:50","181","112","-1"
"A_b8","09:32:51","139","106","-1"
"A_b8","09:32:52","136","109","-1"
"A_b8","09:32:53","141","87","-1"
"A_b8","09:32:54","141","88","-1"
"A_b8","09:32:55","143","88","-1"
"A_b8","09:32:56","138","105","-1"
"A_b8","09:32:57","136","109","-1"
"A_b8","09:32:58","144","93","-1"
"A_b8","09:32:59","144","91","-1"
"A_b8","09:33:00","144","90","-1"
"A_b8","09:33:01","138","105","-1"
"A_bursttemp","09:33:03","-1","-1","56"
