"tag","t","perf","util","gpuC"
"B_idle","09:35:13","61","27","-1"
"B_idle","09:35:15","44","20","-1"
"B_idle","09:35:16","44","19","-1"
"B_idle","09:35:17","44","19","-1"
"B_idle","09:35:18","44","19","-1"
"B_idle","09:35:19","44","20","-1"
"B_idle","09:35:20","44","19","-1"
"B_idle","09:35:22","44","20","-1"
"B_idle","09:35:23","44","19","-1"
"B_idle","09:35:24","44","19","-1"
"B_idle","09:35:25","44","22","-1"
"B_idle","09:35:26","44","19","-1"
"B_idle","09:35:27","44","21","-1"
"B_idle","09:35:29","44","23","-1"
"B_idle","09:35:30","44","20","-1"
"B_idle","09:35:31","44","23","-1"
"B_idle","09:35:32","44","23","-1"
"B_idle","09:35:34","44","25","-1"
"B_idle","09:35:35","72","25","-1"
"B_idle","09:35:36","53","24","-1"
"B_idle","09:35:37","52","36","-1"
"B_idle","09:35:38","44","20","-1"
"B_idle","09:35:39","44","24","-1"
"B_idle","09:35:41","44","23","-1"
"B_b1","09:35:45","121","90","-1"
"B_b1","09:35:46","125","92","-1"
"B_b1","09:35:47","123","91","-1"
"B_b1","09:35:48","126","94","-1"
"B_b1","09:35:49","127","100","-1"
"B_b1","09:35:50","127","82","-1"
"B_b1","09:35:51","127","96","-1"
"B_b1","09:35:52","127","90","-1"
"B_b1","09:35:53","127","79","-1"
"B_b1","09:35:54","127","82","-1"
"B_b1","09:35:55","127","80","-1"
"B_b1","09:35:56","127","97","-1"
"B_bursttemp","09:35:58","-1","-1","51"
"B_b2","09:36:10","125","97","-1"
"B_b2","09:36:11","122","91","-1"
"B_b2","09:36:12","122","90","-1"
"B_b2","09:36:13","121","91","-1"
"B_b2","09:36:14","127","102","-1"
"B_b2","09:36:15","127","102","-1"
"B_b2","09:36:16","127","99","-1"
"B_b2","09:36:17","127","96","-1"
"B_b2","09:36:18","127","81","-1"
"B_b2","09:36:19","127","81","-1"
"B_b2","09:36:20","127","79","-1"
"B_b2","09:36:21","127","97","-1"
"B_bursttemp","09:36:23","-1","-1","52"
"B_b3","09:36:34","124","92","-1"
"B_b3","09:36:35","124","92","-1"
"B_b3","09:36:36","124","92","-1"
"B_b3","09:36:37","125","92","-1"
"B_b3","09:36:38","127","101","-1"
"B_b3","09:36:40","127","97","-1"
"B_b3","09:36:41","127","84","-1"
"B_b3","09:36:42","127","98","-1"
"B_b3","09:36:43","127","81","-1"
"B_b3","09:36:44","127","80","-1"
"B_b3","09:36:45","127","81","-1"
"B_b3","09:36:46","127","96","-1"
"B_bursttemp","09:36:47","-1","-1","52"
"B_b4","09:36:59","125","92","-1"
"B_b4","09:37:00","121","90","-1"
"B_b4","09:37:01","124","92","-1"
"B_b4","09:37:02","123","92","-1"
"B_b4","09:37:03","127","101","-1"
"B_b4","09:37:04","127","102","-1"
"B_b4","09:37:05","127","80","-1"
"B_b4","09:37:06","127","98","-1"
"B_b4","09:37:07","127","101","-1"
"B_b4","09:37:08","127","80","-1"
"B_b4","09:37:09","127","83","-1"
"B_b4","09:37:10","127","80","-1"
"B_bursttemp","09:37:12","-1","-1","52"
"B_b5","09:37:23","127","94","-1"
"B_b5","09:37:24","125","93","-1"
"B_b5","09:37:25","123","92","-1"
"B_b5","09:37:27","124","93","-1"
"B_b5","09:37:28","127","102","-1"
"B_b5","09:37:29","127","104","-1"
"B_b5","09:37:30","127","79","-1"
"B_b5","09:37:31","127","98","-1"
"B_b5","09:37:32","127","96","-1"
"B_b5","09:37:33","127","82","-1"
"B_b5","09:37:34","127","79","-1"
"B_b5","09:37:35","127","81","-1"
"B_bursttemp","09:37:36","-1","-1","52"
"B_b6","09:37:48","127","100","-1"
"B_b6","09:37:49","125","93","-1"
"B_b6","09:37:50","125","91","-1"
"B_b6","09:37:51","124","92","-1"
"B_b6","09:37:52","125","96","-1"
"B_b6","09:37:53","127","98","-1"
"B_b6","09:37:54","127","81","-1"
"B_b6","09:37:55","127","80","-1"
"B_b6","09:37:56","127","96","-1"
"B_b6","09:37:57","127","82","-1"
"B_b6","09:37:58","127","80","-1"
"B_b6","09:37:59","127","81","-1"
"B_bursttemp","09:38:01","-1","-1","53"
"B_b7","09:38:13","127","97","-1"
"B_b7","09:38:14","125","93","-1"
"B_b7","09:38:15","125","92","-1"
"B_b7","09:38:16","122","91","-1"
"B_b7","09:38:17","123","96","-1"
"B_b7","09:38:23","127","80","-1"
"B_b7","09:38:25","127","81","-1"
"B_bursttemp","09:38:26","-1","-1","53"
"B_b8","09:38:38","126","105","-1"
"B_b8","09:38:39","125","91","-1"
"B_b8","09:38:40","122","90","-1"
"B_b8","09:38:41","123","91","-1"
"B_b8","09:38:42","120","92","-1"
"B_b8","09:38:43","127","98","-1"
"B_b8","09:38:44","127","103","-1"
"B_b8","09:38:45","127","80","-1"
"B_b8","09:38:46","127","100","-1"
"B_b8","09:38:47","127","102","-1"
"B_b8","09:38:48","127","79","-1"
"B_b8","09:38:49","127","82","-1"
"B_bursttemp","09:38:51","-1","-1","53"
