"tag","t","perf","util","gpuC"
"B_idle","18:15:08","89","15","-1"
"B_idle","18:15:09","93","14","-1"
"B_idle","18:15:10","44","13","-1"
"B_idle","18:15:11","44","13","-1"
"B_idle","18:15:12","44","14","-1"
"B_idle","18:15:13","52","13","-1"
"B_idle","18:15:14","44","12","-1"
"B_idle","18:15:15","44","13","-1"
"B_idle","18:15:17","60","13","-1"
"B_idle","18:15:18","60","13","-1"
"B_idle","18:15:19","44","13","-1"
"B_idle","18:15:20","44","13","-1"
"B_idle","18:15:21","44","12","-1"
"B_idle","18:15:22","46","15","-1"
"B_idle","18:15:23","99","26","-1"
"B_idle","18:15:24","49","12","-1"
"B_idle","18:15:25","46","13","-1"
"B_idle","18:15:27","44","13","-1"
"B_idle","18:15:28","44","14","-1"
"B_idle","18:15:29","44","13","-1"
"B_idle","18:15:30","44","13","-1"
"B_b1","18:15:34","178","106","-1"
"B_b1","18:15:35","182","108","-1"
"B_b1","18:15:36","181","108","-1"
"B_b1","18:15:37","183","108","-1"
"B_b1","18:15:38","187","110","-1"
"B_b1","18:15:39","187","111","-1"
"B_b1","18:15:40","186","110","-1"
"B_b1","18:15:41","187","110","-1"
"B_b1","18:15:42","187","112","-1"
"B_b1","18:15:43","186","110","-1"
"B_b1","18:15:44","186","111","-1"
"B_b1","18:15:45","187","111","-1"
"B_bursttemp","18:15:47","-1","-1","56"
"B_b2","18:15:58","180","108","-1"
"B_b2","18:15:59","180","109","-1"
"B_b2","18:16:00","180","108","-1"
"B_b2","18:16:01","181","109","-1"
"B_b2","18:16:02","181","111","-1"
"B_b2","18:16:03","141","85","-1"
"B_b2","18:16:04","140","85","-1"
"B_b2","18:16:05","139","85","-1"
"B_b2","18:16:06","139","85","-1"
"B_b2","18:16:07","138","84","-1"
"B_b2","18:16:08","142","86","-1"
"B_b2","18:16:09","141","85","-1"
"B_bursttemp","18:16:11","-1","-1","55"
"B_b3","18:16:22","180","109","-1"
"B_b3","18:16:23","178","106","-1"
"B_b3","18:16:24","181","108","-1"
"B_b3","18:16:25","182","108","-1"
"B_b3","18:16:26","143","87","-1"
"B_b3","18:16:27","139","84","-1"
"B_b3","18:16:28","138","84","-1"
"B_b3","18:16:29","138","84","-1"
"B_b3","18:16:30","138","85","-1"
"B_b3","18:16:31","139","84","-1"
"B_b3","18:16:32","138","87","-1"
"B_b3","18:16:33","140","85","-1"
"B_bursttemp","18:16:35","-1","-1","55"
"B_b4","18:16:46","180","106","-1"
"B_b4","18:16:47","181","107","-1"
"B_b4","18:16:48","181","108","-1"
"B_b4","18:16:49","181","108","-1"
"B_b4","18:16:50","144","87","-1"
"B_b4","18:16:51","138","84","-1"
"B_b4","18:16:52","138","86","-1"
"B_b4","18:16:53","139","84","-1"
"B_b4","18:16:54","138","86","-1"
"B_b4","18:16:55","138","83","-1"
"B_b4","18:16:56","139","84","-1"
"B_b4","18:16:57","140","85","-1"
"B_bursttemp","18:16:59","-1","-1","55"
"B_b5","18:17:10","180","106","-1"
"B_b5","18:17:11","178","106","-1"
"B_b5","18:17:12","180","109","-1"
"B_b5","18:17:13","182","108","-1"
"B_b5","18:17:14","139","84","-1"
"B_b5","18:17:15","139","84","-1"
"B_b5","18:17:16","139","84","-1"
"B_b5","18:17:17","138","84","-1"
"B_b5","18:17:18","139","88","-1"
"B_b5","18:17:19","138","83","-1"
"B_b5","18:17:20","138","84","-1"
"B_b5","18:17:21","138","84","-1"
"B_bursttemp","18:17:23","-1","-1","55"
"B_b6","18:17:34","180","106","-1"
"B_b6","18:17:35","180","107","-1"
"B_b6","18:17:36","180","107","-1"
"B_b6","18:17:37","182","108","-1"
"B_b6","18:17:38","142","86","-1"
"B_b6","18:17:39","139","84","-1"
"B_b6","18:17:40","138","83","-1"
"B_b6","18:17:41","139","84","-1"
"B_b6","18:17:42","138","86","-1"
"B_b6","18:17:43","140","84","-1"
"B_b6","18:17:44","138","83","-1"
"B_b6","18:17:45","142","86","-1"
"B_bursttemp","18:17:47","-1","-1","56"
"B_b7","18:17:58","180","108","-1"
"B_b7","18:17:59","179","107","-1"
"B_b7","18:18:00","181","107","-1"
"B_b7","18:18:01","181","108","-1"
"B_b7","18:18:02","142","87","-1"
"B_b7","18:18:03","138","84","-1"
"B_b7","18:18:04","138","85","-1"
"B_b7","18:18:05","141","86","-1"
"B_b7","18:18:06","141","87","-1"
"B_b7","18:18:07","138","85","-1"
"B_b7","18:18:08","139","84","-1"
"B_b7","18:18:09","138","84","-1"
"B_bursttemp","18:18:11","-1","-1","56"
"B_b8","18:18:22","180","108","-1"
"B_b8","18:18:23","180","107","-1"
"B_b8","18:18:24","180","108","-1"
"B_b8","18:18:25","181","109","-1"
"B_b8","18:18:26","142","87","-1"
"B_b8","18:18:27","140","85","-1"
"B_b8","18:18:28","141","85","-1"
"B_b8","18:18:29","138","84","-1"
"B_b8","18:18:30","138","85","-1"
"B_b8","18:18:31","141","85","-1"
"B_b8","18:18:32","140","86","-1"
"B_b8","18:18:33","138","85","-1"
"B_bursttemp","18:18:35","-1","-1","56"
