"tag","t","perf","util","gpuC"
"B_idle","18:19:19","44","13","-1"
"B_idle","18:19:20","44","13","-1"
"B_idle","18:19:21","163","36","-1"
"B_idle","18:19:22","158","34","-1"
"B_idle","18:19:23","52","13","-1"
"B_idle","18:19:24","44","12","-1"
"B_idle","18:19:25","44","13","-1"
"B_idle","18:19:27","44","13","-1"
"B_idle","18:19:28","44","13","-1"
"B_idle","18:19:29","44","13","-1"
"B_idle","18:19:30","44","13","-1"
"B_idle","18:19:31","44","12","-1"
"B_idle","18:19:32","44","14","-1"
"B_idle","18:19:33","44","16","-1"
"B_idle","18:19:34","137","30","-1"
"B_idle","18:19:35","44","12","-1"
"B_idle","18:19:36","44","14","-1"
"B_idle","18:19:38","44","13","-1"
"B_idle","18:19:39","44","14","-1"
"B_idle","18:19:40","44","13","-1"
"B_idle","18:19:41","44","12","-1"
"B_idle","18:19:42","44","14","-1"
"B_idle","18:19:43","44","12","-1"
"B_idle","18:19:44","44","13","-1"
"B_idle","18:19:45","44","12","-1"
"B_idle","18:19:47","44","13","-1"
"B_idle","18:19:48","44","13","-1"
"B_b1","18:19:52","178","107","-1"
"B_b1","18:19:53","179","107","-1"
"B_b1","18:19:54","178","106","-1"
"B_b1","18:19:55","181","108","-1"
"B_b1","18:19:56","184","110","-1"
"B_b1","18:19:57","184","110","-1"
"B_b1","18:19:58","184","109","-1"
"B_b1","18:19:59","185","109","-1"
"B_b1","18:20:00","184","110","-1"
"B_b1","18:20:01","185","111","-1"
"B_b1","18:20:02","183","110","-1"
"B_b1","18:20:03","184","109","-1"
"B_bursttemp","18:20:05","-1","-1","57"
"B_b2","18:20:16","180","107","-1"
"B_b2","18:20:17","179","106","-1"
"B_b2","18:20:18","180","108","-1"
"B_b2","18:20:19","180","107","-1"
"B_b2","18:20:20","184","109","-1"
"B_b2","18:20:21","185","110","-1"
"B_b2","18:20:22","138","86","-1"
"B_b2","18:20:23","138","84","-1"
"B_b2","18:20:24","137","83","-1"
"B_b2","18:20:25","138","84","-1"
"B_b2","18:20:26","139","84","-1"
"B_b2","18:20:27","141","86","-1"
"B_bursttemp","18:20:29","-1","-1","56"
"B_b3","18:20:40","179","107","-1"
"B_b3","18:20:41","180","107","-1"
"B_b3","18:20:42","180","107","-1"
"B_b3","18:20:43","179","107","-1"
"B_b3","18:20:44","185","110","-1"
"B_b3","18:20:45","138","84","-1"
"B_b3","18:20:46","142","86","-1"
"B_b3","18:20:47","138","83","-1"
"B_b3","18:20:48","139","83","-1"
"B_b3","18:20:49","138","83","-1"
"B_b3","18:20:50","140","84","-1"
"B_b3","18:20:51","139","85","-1"
"B_bursttemp","18:20:53","-1","-1","56"
"B_b4","18:21:04","179","107","-1"
"B_b4","18:21:05","179","107","-1"
"B_b4","18:21:06","179","107","-1"
"B_b4","18:21:07","180","108","-1"
"B_b4","18:21:08","182","109","-1"
"B_b4","18:21:09","141","85","-1"
"B_b4","18:21:10","139","84","-1"
"B_b4","18:21:11","138","84","-1"
"B_b4","18:21:12","138","84","-1"
"B_b4","18:21:13","138","84","-1"
"B_b4","18:21:14","138","84","-1"
"B_b4","18:21:15","141","85","-1"
"B_bursttemp","18:21:17","-1","-1","56"
"B_b5","18:21:28","180","107","-1"
"B_b5","18:21:29","178","105","-1"
"B_b5","18:21:30","180","107","-1"
"B_b5","18:21:31","180","108","-1"
"B_b5","18:21:32","184","112","-1"
"B_b5","18:21:33","138","84","-1"
"B_b5","18:21:34","138","84","-1"
"B_b5","18:21:35","141","85","-1"
"B_b5","18:21:36","138","96","-1"
"B_b5","18:21:37","140","86","-1"
"B_b5","18:21:38","139","85","-1"
"B_b5","18:21:39","138","84","-1"
"B_bursttemp","18:21:41","-1","-1","57"
"B_b6","18:21:52","179","107","-1"
"B_b6","18:21:53","177","106","-1"
"B_b6","18:21:54","169","132","-1"
"B_b6","18:21:55","180","108","-1"
"B_b6","18:21:56","183","109","-1"
"B_b6","18:21:57","138","85","-1"
"B_b6","18:21:58","138","84","-1"
"B_b6","18:21:59","138","84","-1"
"B_b6","18:22:00","141","85","-1"
"B_b6","18:22:01","138","84","-1"
"B_b6","18:22:02","140","93","-1"
"B_b6","18:22:03","138","85","-1"
"B_bursttemp","18:22:05","-1","-1","57"
"B_b7","18:22:16","179","106","-1"
"B_b7","18:22:17","178","106","-1"
"B_b7","18:22:18","180","107","-1"
"B_b7","18:22:19","179","107","-1"
"B_b7","18:22:20","183","109","-1"
"B_b7","18:22:21","138","84","-1"
"B_b7","18:22:22","140","85","-1"
"B_b7","18:22:23","139","84","-1"
"B_b7","18:22:24","138","87","-1"
"B_b7","18:22:25","138","85","-1"
"B_b7","18:22:26","140","85","-1"
"B_b7","18:22:28","138","84","-1"
"B_bursttemp","18:22:29","-1","-1","57"
"B_b8","18:22:40","179","106","-1"
"B_b8","18:22:41","179","106","-1"
"B_b8","18:22:42","180","107","-1"
"B_b8","18:22:43","179","106","-1"
"B_b8","18:22:44","184","108","-1"
"B_b8","18:22:45","138","83","-1"
"B_b8","18:22:46","138","84","-1"
"B_b8","18:22:47","140","84","-1"
"B_b8","18:22:48","138","84","-1"
"B_b8","18:22:49","136","83","-1"
"B_b8","18:22:50","138","84","-1"
"B_b8","18:22:51","138","85","-1"
"B_bursttemp","18:22:53","-1","-1","57"
