测试编号,时间,电源模式,EPP,测试前温度(°C),测试后温度(°C),温度上升(°C),测试前频率(MHz),测试后频率(MHz),LCG迭代数,吞吐量(万/s),备注
1,10:54:11,balanced,balance_performance,80,61,-19,2400,2400,192543753,962.7,基线测试(热量积累)
2,10:54:46,balanced,balance_performance,60,81,+21,1700,1700,232882815,1164.4,重复测试
3,10:55:15,balanced,balance_performance,65,81,+16,2400,2400,242692581,1213.5,冷却后
4,10:55:42,balanced,balance_performance,86,86,0,2400,2400,176409768,882.0,热积累(连续测试)
5,10:55:47,balanced,balance_performance,84,84,0,2400,2400,147463284,737.3,热积累加剧
6,10:58:02,balanced,balance_performance,63,84,+21,2400,2400,263167973,1315.8,冷却后最佳
7,10:59:03,performance,performance,82,86,+4,3400,2600,267013284,1335.1,Performance模式
8,10:59:41,power-saver,power,64,65,+1,800,900,76760551,383.8,Power-Saver模式
9,11:00:23,balanced,balance_performance,72,86,+14,2800,2600,259789847,1298.9,Balanced重复
10,11:01:06,balanced,balance_performance,63,85,+22,2400,2400,262438284,1312.2,Balanced稳定
11,11:05:34,performance,performance,72,79,+7,3400,2599,270457035,1352.3,Performance完整测试
12,11:06:36,balanced,balance_performance,66,78,+12,2796,2600,276914455,1384.6,Balanced完整测试(最佳)
13,11:07:29,power-saver,power,53,56,+3,800,900,80914848,404.6,Power-Saver完整测试
